Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,IncomeRatio,LoanAmountRatio,Gender_encoded,Married_encoded,Dependents_encoded,Education_encoded,Self_Employed_encoded,Property_Area_encoded,Loan_Status_encoded
LP031,Male,Yes,2,Graduate,Yes,1287,2434,42,180,1,Urban,Y,3721,88.5952380952381,0.23333333333333334,1,1,2,0,1,2,1
LP032,Male,No,0,Not Graduate,Yes,2677,207,661,36,0,Semiurban,Y,2884,4.363086232980333,18.36111111111111,1,0,0,1,1,1,1
LP033,Female,Yes,2,Graduate,Yes,4267,2633,435,240,1,Rural,Y,6900,15.862068965517242,1.8125,0,1,2,0,1,0,1
LP034,Female,No,1,Graduate,No,3570,4117,229,36,1,Rural,Y,7687,33.56768558951965,6.361111111111111,0,0,1,0,0,0,1
LP035,Female,Yes,0,Not Graduate,Yes,5995,153,542,300,1,Rural,N,6148,11.343173431734318,1.8066666666666666,0,1,0,1,1,0,0
LP036,Male,No,1,Graduate,Yes,4928,3366,375,300,1,Semiurban,Y,8294,22.117333333333335,1.25,1,0,1,0,1,1,1
LP037,Female,No,1,Graduate,No,4056,1518,558,12,0,Rural,Y,5574,9.989247311827956,46.5,0,0,1,0,0,0,1
LP038,Male,Yes,2,Not Graduate,No,3787,2600,590,300,1,Urban,Y,6387,10.82542372881356,1.9666666666666666,1,1,2,1,0,2,1
LP039,Male,Yes,1,Graduate,No,3103,2195,124,36,1,Semiurban,Y,5298,42.725806451612904,3.4444444444444446,1,1,1,0,0,1,1
LP040,Male,Yes,2,Graduate,Yes,6079,3554,247,180,0,Semiurban,Y,9633,39.0,1.3722222222222222,1,1,2,0,1,1,1
LP041,Male,Yes,0,Graduate,No,2517,2414,343,12,0,Semiurban,Y,4931,14.376093294460642,28.583333333333332,1,1,0,0,0,1,1
LP042,Male,No,2,Not Graduate,No,4371,2849,449,120,1,Semiurban,Y,7220,16.080178173719375,3.7416666666666667,1,0,2,1,0,1,1
LP043,Female,Yes,0,Graduate,Yes,426,1742,156,240,1,Semiurban,N,2168,13.897435897435898,0.65,0,1,0,0,1,1,0
LP044,Female,Yes,2,Graduate,No,2149,1306,17,12,0,Urban,N,3455,203.23529411764707,1.4166666666666667,0,1,2,0,0,2,0
LP045,Female,No,3+,Not Graduate,Yes,1377,3849,296,36,0,Semiurban,N,5226,17.655405405405407,8.222222222222221,0,0,3,1,1,1,0
LP046,Female,Yes,3+,Graduate,Yes,6487,2555,396,240,0,Rural,N,9042,22.833333333333332,1.65,0,1,3,0,1,0,0
LP047,Female,Yes,1,Not Graduate,No,3902,2305,58,180,1,Semiurban,Y,6207,107.01724137931035,0.32222222222222224,0,1,1,1,0,1,1
LP048,Male,Yes,2,Not Graduate,No,3885,1088,525,60,1,Semiurban,Y,4973,9.472380952380952,8.75,1,1,2,1,0,1,1
LP049,Female,Yes,2,Graduate,No,7864,2642,646,36,0,Semiurban,Y,10506,16.263157894736842,17.944444444444443,0,1,2,0,0,1,1
LP050,Female,Yes,0,Not Graduate,No,845,1177,595,84,1,Semiurban,Y,2022,3.3983193277310924,7.083333333333333,0,1,0,1,0,1,1
LP051,Male,No,1,Not Graduate,No,1459,2994,685,60,0,Semiurban,Y,4453,6.500729927007299,11.416666666666666,1,0,1,1,0,1,1
LP052,Female,Yes,2,Graduate,No,4302,559,286,240,1,Urban,N,4861,16.996503496503497,1.1916666666666667,0,1,2,0,0,2,0
LP053,Male,Yes,1,Not Graduate,Yes,8051,2964,308,300,0,Urban,Y,11015,35.76298701298701,1.0266666666666666,1,1,1,1,1,2,1
LP054,Female,Yes,3+,Not Graduate,Yes,7620,1271,597,36,0,Semiurban,Y,8891,14.892797319932999,16.583333333333332,0,1,3,1,1,1,1
LP055,Male,Yes,2,Graduate,No,3384,1813,657,240,1,Urban,Y,5197,7.910197869101979,2.7375,1,1,2,0,0,2,1
LP056,Female,Yes,2,Graduate,Yes,4264,2915,626,300,1,Rural,N,7179,11.468051118210862,2.0866666666666664,0,1,2,0,1,0,0
LP057,Female,No,1,Graduate,No,7687,609,615,180,1,Semiurban,Y,8296,13.489430894308944,3.4166666666666665,0,0,1,0,0,1,1
LP058,Male,Yes,2,Not Graduate,Yes,2461,2461,143,180,1,Rural,N,4922,34.41958041958042,0.7944444444444444,1,1,2,1,1,0,0
LP059,Male,No,1,Graduate,Yes,2991,4120,588,12,1,Rural,N,7111,12.093537414965986,49.0,1,0,1,0,1,0,0
LP060,Male,No,2,Not Graduate,Yes,4358,283,155,84,1,Semiurban,N,4641,29.941935483870967,1.8452380952380953,1,0,2,1,1,1,0
LP061,Male,Yes,0,Not Graduate,No,3709,2928,498,12,0,Rural,N,6637,13.32730923694779,41.5,1,1,0,1,0,0,0
LP062,Male,Yes,1,Not Graduate,Yes,3548,1091,486,84,1,Rural,N,4639,9.545267489711934,5.785714285714286,1,1,1,1,1,0,0
LP063,Male,Yes,2,Not Graduate,No,691,816,167,36,0,Rural,Y,1507,9.023952095808383,4.638888888888889,1,1,2,1,0,0,1
LP064,Male,Yes,3+,Not Graduate,Yes,2844,82,392,120,0,Semiurban,Y,2926,7.464285714285714,3.2666666666666666,1,1,3,1,1,1,1
LP065,Male,No,2,Not Graduate,Yes,4824,1920,171,360,1,Semiurban,Y,6744,39.43859649122807,0.475,1,0,2,1,1,1,1
LP066,Female,Yes,3+,Not Graduate,Yes,1238,3491,449,60,0,Rural,Y,4729,10.53229398663697,7.483333333333333,0,1,3,1,1,0,1
LP067,Female,Yes,3+,Graduate,Yes,3513,3144,197,300,0,Semiurban,N,6657,33.79187817258883,0.6566666666666666,0,1,3,0,1,1,0
LP068,Male,Yes,0,Graduate,Yes,174,2093,423,60,1,Semiurban,Y,2267,5.359338061465721,7.05,1,1,0,0,1,1,1
LP069,Female,Yes,1,Not Graduate,No,1722,175,347,180,1,Rural,N,1897,5.46685878962536,1.9277777777777778,0,1,1,1,0,0,0
LP070,Female,Yes,2,Not Graduate,No,6294,2704,615,84,1,Semiurban,Y,8998,14.63089430894309,7.321428571428571,0,1,2,1,0,1,1
LP071,Female,Yes,0,Graduate,Yes,3108,369,189,300,0,Urban,Y,3477,18.396825396825395,0.63,0,1,0,0,1,2,1
LP072,Female,No,2,Not Graduate,Yes,5818,1818,296,180,1,Semiurban,N,7636,25.7972972972973,1.6444444444444444,0,0,2,1,1,1,0
LP073,Male,No,3+,Graduate,Yes,4386,2101,195,300,1,Urban,Y,6487,33.266666666666666,0.65,1,0,3,0,1,2,1
LP074,Female,Yes,1,Graduate,Yes,1917,3490,146,12,1,Rural,Y,5407,37.034246575342465,12.166666666666666,0,1,1,0,1,0,1
LP075,Male,Yes,2,Graduate,No,4893,1779,138,180,1,Semiurban,Y,6672,48.34782608695652,0.7666666666666667,1,1,2,0,0,1,1
LP076,Female,Yes,2,Not Graduate,Yes,2385,1364,202,12,0,Rural,Y,3749,18.559405940594058,16.833333333333332,0,1,2,1,1,0,1
LP077,Female,No,3+,Not Graduate,No,7445,3342,324,12,1,Rural,Y,10787,33.29320987654321,27.0,0,0,3,1,0,0,1
LP078,Female,Yes,2,Graduate,Yes,350,3676,152,300,0,Rural,Y,4026,26.486842105263158,0.5066666666666667,0,1,2,0,1,0,1
LP079,Male,No,2,Graduate,No,3348,2426,24,240,1,Rural,Y,5774,240.58333333333334,0.1,1,0,2,0,0,0,1
LP080,Female,Yes,3+,Graduate,Yes,406,72,310,60,0,Rural,N,478,1.5419354838709678,5.166666666666667,0,1,3,0,1,0,0
LP081,Male,Yes,0,Graduate,Yes,3897,2962,431,180,0,Semiurban,N,6859,15.914153132250581,2.3944444444444444,1,1,0,0,1,1,0
LP082,Female,Yes,3+,Graduate,No,4792,859,253,360,0,Urban,Y,5651,22.33596837944664,0.7027777777777777,0,1,3,0,0,2,1
LP083,Male,Yes,0,Not Graduate,Yes,2391,3856,115,240,1,Semiurban,Y,6247,54.321739130434786,0.4791666666666667,1,1,0,1,1,1,1
LP084,Female,No,1,Graduate,Yes,6996,4138,96,60,0,Semiurban,N,11134,115.97916666666667,1.6,0,0,1,0,1,1,0
LP085,Male,No,0,Not Graduate,Yes,3325,2424,137,180,1,Semiurban,Y,5749,41.96350364963504,0.7611111111111111,1,0,0,1,1,1,1
LP086,Male,Yes,0,Graduate,No,3756,1064,349,84,1,Semiurban,Y,4820,13.810888252148997,4.154761904761905,1,1,0,0,0,1,1
LP087,Female,Yes,1,Not Graduate,Yes,3486,2217,12,60,1,Urban,Y,5703,475.25,0.2,0,1,1,1,1,2,1
LP088,Male,No,0,Not Graduate,Yes,5047,4017,335,360,1,Semiurban,N,9064,27.056716417910447,0.9305555555555556,1,0,0,1,1,1,0
LP089,Female,No,3+,Not Graduate,No,5187,2259,418,36,1,Rural,Y,7446,17.8133971291866,11.61111111111111,0,0,3,1,0,0,1
LP090,Female,No,0,Not Graduate,No,7701,3751,314,12,0,Semiurban,Y,11452,36.47133757961783,26.166666666666668,0,0,0,1,0,1,1
LP091,Female,No,1,Not Graduate,No,7577,2086,615,36,1,Semiurban,Y,9663,15.71219512195122,17.083333333333332,0,0,1,1,0,1,1
LP092,Female,Yes,3+,Not Graduate,Yes,563,368,233,240,0,Urban,Y,931,3.995708154506438,0.9708333333333333,0,1,3,1,1,2,1
LP093,Female,No,1,Graduate,Yes,2164,2804,356,12,0,Urban,Y,4968,13.955056179775282,29.666666666666668,0,0,1,0,1,2,1
LP094,Female,Yes,1,Not Graduate,Yes,1531,150,329,180,0,Rural,Y,1681,5.109422492401216,1.8277777777777777,0,1,1,1,1,0,1
LP095,Female,No,2,Graduate,No,1248,1134,567,240,0,Semiurban,N,2382,4.201058201058201,2.3625,0,0,2,0,0,1,0
LP096,Female,No,2,Not Graduate,Yes,3576,2784,189,360,0,Semiurban,N,6360,33.65079365079365,0.525,0,0,2,1,1,1,0
LP097,Female,No,1,Not Graduate,Yes,3805,4164,626,300,0,Semiurban,Y,7969,12.73003194888179,2.0866666666666664,0,0,1,1,1,1,1
LP098,Female,No,1,Graduate,No,8088,2346,394,180,0,Rural,Y,10434,26.482233502538072,2.188888888888889,0,0,1,0,0,0,1
LP099,Female,No,1,Not Graduate,No,1059,2250,626,60,1,Urban,Y,3309,5.285942492012779,10.433333333333334,0,0,1,1,0,2,1
LP100,Male,Yes,2,Graduate,No,337,60,116,300,0,Rural,N,397,3.4224137931034484,0.38666666666666666,1,1,2,0,0,0,0
LP101,Male,Yes,2,Graduate,No,4194,3010,539,240,1,Semiurban,N,7204,13.365491651205938,2.245833333333333,1,1,2,0,0,1,0
LP102,Female,No,0,Graduate,No,3906,3901,418,60,0,Urban,Y,7807,18.677033492822968,6.966666666666667,0,0,0,0,0,2,1
LP103,Female,No,0,Graduate,Yes,2165,1337,304,360,0,Urban,Y,3502,11.519736842105264,0.8444444444444444,0,0,0,0,1,2,1
LP104,Female,Yes,1,Not Graduate,No,5559,1184,179,36,0,Rural,N,6743,37.67039106145251,4.972222222222222,0,1,1,1,0,0,0
LP105,Female,No,3+,Not Graduate,Yes,2242,1551,339,60,0,Urban,Y,3793,11.188790560471977,5.65,0,0,3,1,1,2,1
LP106,Female,No,3+,Graduate,Yes,3794,1629,501,36,1,Urban,Y,5423,10.82435129740519,13.916666666666666,0,0,3,0,1,2,1
LP107,Female,Yes,2,Not Graduate,No,2280,1327,203,12,1,Semiurban,Y,3607,17.76847290640394,16.916666666666668,0,1,2,1,0,1,1
LP108,Female,No,2,Not Graduate,No,5392,1526,20,84,1,Semiurban,Y,6918,345.9,0.23809523809523808,0,0,2,1,0,1,1
LP109,Female,No,2,Graduate,No,507,1673,203,120,0,Urban,Y,2180,10.738916256157635,1.6916666666666667,0,0,2,0,0,2,1
LP110,Male,Yes,1,Not Graduate,Yes,5797,1361,498,180,0,Urban,N,7158,14.373493975903614,2.7666666666666666,1,1,1,1,1,2,0
LP111,Female,Yes,3+,Graduate,No,5335,1573,190,120,0,Rural,Y,6908,36.357894736842105,1.5833333333333333,0,1,3,0,0,0,1
LP112,Male,Yes,0,Graduate,No,7229,2686,664,12,1,Rural,Y,9915,14.93222891566265,55.333333333333336,1,1,0,0,0,0,1
LP113,Female,No,1,Not Graduate,No,5926,2366,324,60,0,Urban,Y,8292,25.59259259259259,5.4,0,0,1,1,0,2,1
LP114,Female,Yes,0,Not Graduate,No,2572,3757,38,12,1,Semiurban,Y,6329,166.55263157894737,3.1666666666666665,0,1,0,1,0,1,1
LP115,Male,Yes,0,Not Graduate,No,4407,2434,604,120,1,Urban,Y,6841,11.32615894039735,5.033333333333333,1,1,0,1,0,2,1
LP116,Female,Yes,1,Graduate,Yes,8063,1993,686,120,0,Urban,Y,10056,14.658892128279883,5.716666666666667,0,1,1,0,1,2,1
LP117,Male,Yes,0,Graduate,Yes,7697,869,104,180,0,Semiurban,N,8566,82.36538461538461,0.5777777777777777,1,1,0,0,1,1,0
LP118,Female,Yes,3+,Not Graduate,Yes,7973,1014,389,300,1,Semiurban,Y,8987,23.102827763496144,1.2966666666666666,0,1,3,1,1,1,1
LP119,Female,Yes,0,Not Graduate,No,7675,1911,452,12,1,Rural,Y,9586,21.207964601769913,37.666666666666664,0,1,0,1,0,0,1
LP120,Male,No,3+,Not Graduate,No,7505,602,306,84,1,Rural,Y,8107,26.49346405228758,3.642857142857143,1,0,3,1,0,0,1
LP121,Female,No,3+,Not Graduate,No,6615,3821,369,12,0,Rural,Y,10436,28.281842818428185,30.75,0,0,3,1,0,0,1
LP122,Male,Yes,3+,Graduate,Yes,4695,690,382,360,0,Rural,N,5385,14.096858638743456,1.0611111111111111,1,1,3,0,1,0,0
LP123,Female,Yes,2,Not Graduate,No,1647,493,562,240,0,Semiurban,Y,2140,3.807829181494662,2.341666666666667,0,1,2,1,0,1,1
LP124,Male,Yes,0,Graduate,No,5282,489,311,240,0,Urban,N,5771,18.556270096463024,1.2958333333333334,1,1,0,0,0,2,0
LP125,Male,No,1,Graduate,No,6477,2556,429,120,0,Rural,Y,9033,21.055944055944057,3.575,1,0,1,0,0,0,1
LP126,Female,No,1,Not Graduate,Yes,2308,294,254,240,0,Rural,N,2602,10.244094488188976,1.0583333333333333,0,0,1,1,1,0,0
LP127,Female,No,0,Not Graduate,No,6196,4027,245,36,1,Semiurban,Y,10223,41.7265306122449,6.805555555555555,0,0,0,1,0,1,1
LP128,Male,No,2,Not Graduate,Yes,2705,2843,542,84,1,Semiurban,Y,5548,10.236162361623617,6.4523809523809526,1,0,2,1,1,1,1
LP129,Female,No,2,Graduate,No,5559,2912,193,240,1,Urban,Y,8471,43.89119170984456,0.8041666666666667,0,0,2,0,0,2,1
LP130,Female,No,3+,Not Graduate,Yes,2492,1717,476,60,0,Urban,Y,4209,8.842436974789916,7.933333333333334,0,0,3,1,1,2,1
LP131,Female,No,0,Not Graduate,Yes,7768,2596,371,36,1,Semiurban,N,10364,27.935309973045822,10.305555555555555,0,0,0,1,1,1,0
LP132,Male,No,0,Graduate,Yes,3101,1873,291,36,0,Rural,N,4974,17.09278350515464,8.083333333333334,1,0,0,0,1,0,0
LP133,Male,No,1,Not Graduate,No,1388,3258,561,12,0,Rural,Y,4646,8.281639928698752,46.75,1,0,1,1,0,0,1
LP134,Male,Yes,0,Graduate,No,1123,2817,344,120,1,Rural,Y,3940,11.453488372093023,2.8666666666666667,1,1,0,0,0,0,1
LP135,Male,Yes,2,Not Graduate,Yes,4877,444,170,180,0,Urban,Y,5321,31.3,0.9444444444444444,1,1,2,1,1,2,1
LP136,Male,Yes,0,Graduate,Yes,4115,3641,168,180,1,Rural,N,7756,46.166666666666664,0.9333333333333333,1,1,0,0,1,0,0
LP137,Male,Yes,1,Not Graduate,No,5836,741,482,360,1,Rural,Y,6577,13.645228215767634,1.3388888888888888,1,1,1,1,0,0,1
LP138,Male,No,3+,Not Graduate,No,1200,2041,609,84,0,Semiurban,Y,3241,5.32183908045977,7.25,1,0,3,1,0,1,1
LP139,Male,No,1,Graduate,Yes,3851,679,330,12,1,Rural,Y,4530,13.727272727272727,27.5,1,0,1,0,1,0,1
LP140,Male,Yes,1,Graduate,No,2930,2467,20,180,1,Semiurban,N,5397,269.85,0.1111111111111111,1,1,1,0,0,1,0
LP141,Female,No,3+,Not Graduate,No,7548,3697,432,120,1,Rural,Y,11245,26.03009259259259,3.6,0,0,3,1,0,0,1
LP142,Male,Yes,1,Graduate,No,1738,1358,81,180,1,Urban,N,3096,38.22222222222222,0.45,1,1,1,0,0,2,0
LP143,Female,No,1,Graduate,No,4028,62,596,60,0,Rural,N,4090,6.8624161073825505,9.933333333333334,0,0,1,0,0,0,0
LP144,Female,Yes,0,Graduate,Yes,2518,2559,209,36,1,Rural,Y,5077,24.291866028708135,5.805555555555555,0,1,0,0,1,0,1
LP145,Female,No,0,Graduate,No,7206,3769,530,180,1,Semiurban,Y,10975,20.70754716981132,2.9444444444444446,0,0,0,0,0,1,1
LP146,Male,No,3+,Not Graduate,No,7550,134,513,12,1,Semiurban,N,7684,14.978557504873294,42.75,1,0,3,1,0,1,0
LP147,Male,Yes,0,Not Graduate,Yes,5939,3644,696,240,0,Semiurban,Y,9583,13.76867816091954,2.9,1,1,0,1,1,1,1
LP148,Male,No,0,Graduate,Yes,586,2135,47,240,1,Rural,N,2721,57.8936170212766,0.19583333333333333,1,0,0,0,1,0,0
LP149,Male,Yes,1,Graduate,No,2978,3278,68,240,0,Rural,Y,6256,92.0,0.2833333333333333,1,1,1,0,0,0,1
LP150,Female,Yes,2,Graduate,No,1706,822,586,12,1,Urban,Y,2528,4.313993174061434,48.833333333333336,0,1,2,0,0,2,1
LP151,Male,Yes,0,Graduate,No,7720,3074,329,84,1,Rural,N,10794,32.808510638297875,3.9166666666666665,1,1,0,0,0,0,0
LP152,Male,Yes,2,Not Graduate,No,5322,2981,443,240,1,Urban,Y,8303,18.742663656884876,1.8458333333333334,1,1,2,1,0,2,1
LP153,Male,No,0,Not Graduate,Yes,4008,120,644,360,0,Semiurban,Y,4128,6.409937888198757,1.788888888888889,1,0,0,1,1,1,1
LP154,Male,No,0,Graduate,Yes,7630,1637,684,120,0,Semiurban,N,9267,13.548245614035087,5.7,1,0,0,0,1,1,0
LP155,Male,No,3+,Graduate,Yes,1454,924,416,36,0,Semiurban,Y,2378,5.716346153846154,11.555555555555555,1,0,3,0,1,1,1
LP156,Female,Yes,3+,Graduate,No,7019,644,394,240,0,Urban,Y,7663,19.449238578680202,1.6416666666666666,0,1,3,0,0,2,1
LP157,Male,No,3+,Not Graduate,No,6324,2032,679,12,0,Rural,Y,8356,12.306332842415317,56.583333333333336,1,0,3,1,0,0,1
LP158,Female,Yes,2,Graduate,No,2534,2761,577,240,0,Semiurban,N,5295,9.176776429809358,2.404166666666667,0,1,2,0,0,1,0
LP159,Male,No,1,Not Graduate,No,332,2068,86,180,1,Rural,N,2400,27.906976744186046,0.4777777777777778,1,0,1,1,0,0,0
LP160,Female,No,0,Graduate,Yes,7340,241,202,240,0,Rural,Y,7581,37.52970297029703,0.8416666666666667,0,0,0,0,1,0,1
LP161,Male,No,0,Not Graduate,Yes,6837,2668,293,60,1,Semiurban,N,9505,32.44027303754266,4.883333333333334,1,0,0,1,1,1,0
LP162,Male,Yes,0,Graduate,No,5715,802,535,60,0,Urban,N,6517,12.181308411214953,8.916666666666666,1,1,0,0,0,2,0
LP163,Female,No,2,Not Graduate,Yes,7391,4164,532,240,0,Rural,Y,11555,21.719924812030076,2.216666666666667,0,0,2,1,1,0,1
LP164,Female,No,3+,Graduate,No,7327,195,621,36,0,Semiurban,Y,7522,12.112721417069244,17.25,0,0,3,0,0,1,1
LP165,Female,Yes,1,Graduate,No,7801,2187,164,12,1,Rural,Y,9988,60.90243902439025,13.666666666666666,0,1,1,0,0,0,1
LP166,Male,No,2,Graduate,Yes,5725,3515,348,360,0,Rural,Y,9240,26.551724137931036,0.9666666666666667,1,0,2,0,1,0,1
LP167,Female,Yes,3+,Not Graduate,No,1739,2330,133,360,0,Rural,N,4069,30.593984962406015,0.36944444444444446,0,1,3,1,0,0,0
LP168,Male,No,2,Graduate,No,1737,2359,288,240,1,Rural,N,4096,14.222222222222221,1.2,1,0,2,0,0,0,0
LP169,Male,Yes,1,Not Graduate,Yes,809,3606,630,240,1,Rural,Y,4415,7.007936507936508,2.625,1,1,1,1,1,0,1
LP170,Female,Yes,3+,Not Graduate,No,309,276,666,60,1,Urban,Y,585,0.8783783783783784,11.1,0,1,3,1,0,2,1
LP171,Female,No,2,Graduate,No,4103,60,682,36,1,Urban,Y,4163,6.104105571847508,18.944444444444443,0,0,2,0,0,2,1
LP172,Male,Yes,1,Graduate,Yes,7331,3390,136,240,0,Semiurban,Y,10721,78.83088235294117,0.5666666666666667,1,1,1,0,1,1,1
LP173,Male,Yes,0,Graduate,No,7495,1913,322,360,1,Urban,Y,9408,29.217391304347824,0.8944444444444445,1,1,0,0,0,2,1
LP174,Female,Yes,1,Not Graduate,Yes,6705,3927,340,12,0,Urban,Y,10632,31.270588235294117,28.333333333333332,0,1,1,1,1,2,1
LP175,Female,Yes,0,Graduate,No,1161,2591,158,84,0,Urban,Y,3752,23.746835443037973,1.880952380952381,0,1,0,0,0,2,1
LP176,Female,Yes,2,Not Graduate,Yes,202,566,462,180,1,Rural,Y,768,1.6623376623376624,2.566666666666667,0,1,2,1,1,0,1
LP177,Male,Yes,3+,Not Graduate,Yes,6701,3935,44,240,0,Rural,N,10636,241.72727272727272,0.18333333333333332,1,1,3,1,1,0,0
LP178,Male,No,3+,Graduate,Yes,7140,1571,693,240,1,Semiurban,Y,8711,12.56998556998557,2.8875,1,0,3,0,1,1,1
LP179,Male,Yes,2,Graduate,No,5291,1200,428,36,0,Semiurban,Y,6491,15.16588785046729,11.88888888888889,1,1,2,0,0,1,1
LP180,Male,Yes,3+,Graduate,Yes,5299,2854,30,84,1,Semiurban,Y,8153,271.76666666666665,0.35714285714285715,1,1,3,0,1,1,1
LP181,Male,No,3+,Graduate,Yes,6996,2895,214,120,1,Rural,Y,9891,46.2196261682243,1.7833333333333334,1,0,3,0,1,0,1
LP182,Male,No,0,Graduate,Yes,2457,1236,647,12,1,Urban,Y,3693,5.707882534775889,53.916666666666664,1,0,0,0,1,2,1
LP183,Female,No,2,Graduate,Yes,1378,136,364,12,1,Urban,Y,1514,4.15934065934066,30.333333333333332,0,0,2,0,1,2,1
LP184,Male,No,1,Not Graduate,Yes,7376,1029,448,60,1,Rural,N,8405,18.761160714285715,7.466666666666667,1,0,1,1,1,0,0
LP185,Male,No,0,Not Graduate,No,5740,2156,104,60,1,Semiurban,Y,7896,75.92307692307692,1.7333333333333334,1,0,0,1,0,1,1
LP186,Male,No,2,Not Graduate,No,7069,2594,172,300,0,Semiurban,N,9663,56.18023255813954,0.5733333333333334,1,0,2,1,0,1,0
LP187,Female,No,0,Graduate,No,5735,661,156,360,0,Semiurban,N,6396,41.0,0.43333333333333335,0,0,0,0,0,1,0
